id,title,kind
1,receipts from that road trip folder,folder
2,IMG_4412 grocery aisle blur.HEIC,image
3,newsletter — 47 tips you already know,text
4,Copy of Copy of weekend plans,doc
5,formal admission checklist (draft gibberish),doc
6,spam: your package is waiting!!!,text
7,residual ledger scrap — desk notes,text
8,vacation montage untitled.mov,video
9,solvency worksheet v0 nonsense,sheet
10,thread: best airport snacks?,text
11,keeper: admission gate outline (public nonsense),doc
12,Screenshots dump Aug,folder
13,formal residual map — coffee napkin,text
14,unsubscribe me from everything.pdf,pdf
15,ledger balance sketch (fake numbers none),sheet
16,x post draft about clouds again,text
17,keeper pack: sorted admission scraps,folder
18,Desktop wallpaper candidates (again),folder
